Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
IRCTC,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NULV,0,0,0.00,0,0.00,0.00,0,0
NUMG,0,0,0.00,0,0.00,0.00,0,0
NUMV,0,0,0.00,0,0.00,0.00,0,0
NURE,0,0,0.00,0,0.00,0.00,0,0
NUSC,0,0,0.00,0,0.00,0.00,0,0
OBND,0,0,0.00,0,0.00,0.00,0,0
OCTZ,0,0,0.00,0,0.00,0.00,0,0
OEUR,0,0,0.00,0,0.00,0.00,0,0
OGIG,0,0,0.00,0,0.00,0.00,0,0
OILK,0,0,0.00,0,0.00,0.00,0,0
OMFL,0,0,0.00,0,0.00,0.00,0,0
OMFS,0,0,0.00,0,0.00,0.00,0,0
OSCV,0,0,0.00,0,0.00,0.00,0,0
OUSA,0,0,0.00,0,0.00,0.00,0,0
OUSM,0,0,0.00,0,0.00,0.00,0,0
PAPR,0,0,0.00,0,0.00,0.00,0,0
PAUG,0,0,0.00,0,0.00,0.00,0,0
PAVE,0,0,0.00,0,0.00,0.00,0,0
PAWZ,0,0,0.00,0,0.00,0.00,0,0
PBDM,0,0,0.00,0,0.00,0.00,0,0
PBEE,0,0,0.00,0,0.00,0.00,0,0
PBND,0,0,0.00,0,0.00,0.00,0,0
PBSM,0,0,0.00,0,0.00,0.00,0,0
PBTP,0,0,0.00,0,0.00,0.00,0,0
PBUS,0,0,0.00,0,0.00,0.00,0,0
PDEC,0,0,0.00,0,0.00,0.00,0,0
PEX,0,0,0.00,0,0.00,0.00,0,0
PFEB,0,0,0.00,0,0.00,0.00,0,0
PICK,0,0,0.00,0,0.00,0.00,0,0
PJAN,0,0,0.00,0,0.00,0.00,0,0
PJUL,0,0,0.00,0,0.00,0.00,0,0
PJUN,0,0,0.00,0,0.00,0.00,0,0
PLRG,0,0,0.00,0,0.00,0.00,0,0
PLTL,0,0,0.00,0,0.00,0.00,0,0
PMAR,0,0,0.00,0,0.00,0.00,0,0
PMAY,0,0,0.00,0,0.00,0.00,0,0
PNOV,0,0,0.00,0,0.00,0.00,0,0
POCT,0,0,0.00,0,0.00,0.00,0,0
PRNT,0,0,0.00,0,0.00,0.00,0,0
PSCJ,0,0,0.00,0,0.00,0.00,0,0
PSCQ,0,0,0.00,0,0.00,0.00,0,0
PSCW,0,0,0.00,0,0.00,0.00,0,0
PSCX,0,0,0.00,0,0.00,0.00,0,0
PSEP,0,0,0.00,0,0.00,0.00,0,0
PSFD,0,0,0.00,0,0.00,0.00,0,0
PSFF,0,0,0.00,0,0.00,0.00,0,0
PSFJ,0,0,0.00,0,0.00,0.00,0,0
PSFM,0,0,0.00,0,0.00,0.00,0,0
PSFO,0,0,0.00,0,0.00,0.00,0,0
PSMB,0,0,0.00,0,0.00,0.00,0,0
PSMC,0,0,0.00,0,0.00,0.00,0,0
PSMD,0,0,0.00,0,0.00,0.00,0,0
PSMG,0,0,0.00,0,0.00,0.00,0,0
PSMJ,0,0,0.00,0,0.00,0.00,0,0
PSMM,0,0,0.00,0,0.00,0.00,0,0
PSMO,0,0,0.00,0,0.00,0.00,0,0
PSMR,0,0,0.00,0,0.00,0.00,0,0
PTEU,0,0,0.00,0,0.00,0.00,0,0
PTLC,0,0,0.00,0,0.00,0.00,0,0
PTMC,0,0,0.00,0,0.00,0.00,0,0
PTNQ,0,0,0.00,0,0.00,0.00,0,0
PUNK,0,0,0.00,0,0.00,0.00,0,0
PWS,0,0,0.00,0,0.00,0.00,0,0
PXUS,0,0,0.00,0,0.00,0.00,0,0
QCON,0,0,0.00,0,0.00,0.00,0,0
QDEC,0,0,0.00,0,0.00,0.00,0,0
QJUN,0,0,0.00,0,0.00,0.00,0,0
QLC,0,0,0.00,0,0.00,0.00,0,0
QMAR,0,0,0.00,0,0.00,0.00,0,0
QMOM,0,0,0.00,0,0.00,0.00,0,0
QPFF,0,0,0.00,0,0.00,0.00,0,0
QSPT,0,0,0.00,0,0.00,0.00,0,0
QTAP,0,0,0.00,0,0.00,0.00,0,0
QTJA,0,0,0.00,0,0.00,0.00,0,0
QTJL,0,0,0.00,0,0.00,0.00,0,0
QTOC,0,0,0.00,0,0.00,0.00,0,0
QUAL,0,0,0.00,0,0.00,0.00,0,0
QVAL,0,0,0.00,0,0.00,0.00,0,0
RDFI,0,0,0.00,0,0.00,0.00,0,0
REC,0,0,0.00,0,0.00,0.00,0,0
REGL,0,0,0.00,0,0.00,0.00,0,0
REM,0,0,0.00,0,0.00,0.00,0,0
RESD,0,0,0.00,0,0.00,0.00,0,0
RESE,0,0,0.00,0,0.00,0.00,0,0
ROCI,0,0,0.00,0,0.00,0.00,0,0
RODE,0,0,0.00,0,0.00,0.00,0,0
RODI,0,0,0.00,0,0.00,0.00,0,0
ROMO,0,0,0.00,0,0.00,0.00,0,0
RPHS,0,0,0.00,0,0.00,0.00,0,0
RSEE,0,0,0.00,0,0.00,0.00,0,0
RSX,0,0,0.00,0,0.00,0.00,0,0
RSXJ,0,0,0.00,0,0.00,0.00,0,0
RTAI,0,0,0.00,0,0.00,0.00,0,0
RULE,0,0,0.00,0,0.00,0.00,0,0
SATO,0,0,0.00,0,0.00,0.00,0,0
SECT,0,0,0.00,0,0.00,0.00,0,0
SEIM,0,0,0.00,0,0.00,0.00,0,0
SEIQ,0,0,0.00,0,0.00,0.00,0,0
SEIV,0,0,0.00,0,0.00,0.00,0,0
SELV,0,0,0.00,0,0.00,0.00,0,0
SEPZ,0,0,0.00,0,0.00,0.00,0,0
SFIG,0,0,0.00,0,0.00,0.00,0,0
SHAG,0,0,0.00,0,0.00,0.00,0,0
SHYD,0,0,0.00,0,0.00,0.00,0,0
SLVP,0,0,0.00,0,0.00,0.00,0,0
SMB,0,0,0.00,0,0.00,0.00,0,0
SMDV,0,0,0.00,0,0.00,0.00,0,0
SMI,0,0,0.00,0,0.00,0.00,0,0
SMIN,0,0,0.00,0,0.00,0.00,0,0
SMMD,0,0,0.00,0,0.00,0.00,0,0
SMMV,0,0,0.00,0,0.00,0.00,0,0
SPMV,0,0,0.00,0,0.00,0.00,0,0
STLG,0,0,0.00,0,0.00,0.00,0,0
STLV,0,0,0.00,0,0.00,0.00,0,0
STOT,0,0,0.00,0,0.00,0.00,0,0
SVAL,0,0,0.00,0,0.00,0.00,0,0
SVIX,0,0,0.00,0,0.00,0.00,0,0
SVXY,0,0,0.00,0,0.00,0.00,0,0
SYLD,0,0,0.00,0,0.00,0.00,0,0
TAIL,0,0,0.00,0,0.00,0.00,0,0
TBJL,0,0,0.00,0,0.00,0.00,0,0
TCTL,0,0,0.00,0,0.00,0.00,0,0
TDV,0,0,0.00,0,0.00,0.00,0,0
TFJL,0,0,0.00,0,0.00,0.00,0,0
THY,0,0,0.00,0,0.00,0.00,0,0
TILT,0,0,0.00,0,0.00,0.00,0,0
TLTW,0,0,0.00,0,0.00,0.00,0,0
TMAT,0,0,0.00,0,0.00,0.00,0,0
TMDV,0,0,0.00,0,0.00,0.00,0,0
TMFC,0,0,0.00,0,0.00,0.00,0,0
TMFG,0,0,0.00,0,0.00,0.00,0,0
TMFM,0,0,0.00,0,0.00,0.00,0,0
TMFS,0,0,0.00,0,0.00,0.00,0,0
TOKE,0,0,0.00,0,0.00,0.00,0,0
TRTY,0,0,0.00,0,0.00,0.00,0,0
TSJA,0,0,0.00,0,0.00,0.00,0,0
TSLH,0,0,0.00,0,0.00,0.00,0,0
TSOC,0,0,0.00,0,0.00,0.00,0,0
TTAC,0,0,0.00,0,0.00,0.00,0,0
TTAI,0,0,0.00,0,0.00,0.00,0,0
TUSI,0,0,0.00,0,0.00,0.00,0,0
TYA,0,0,0.00,0,0.00,0.00,0,0
UAPR,0,0,0.00,0,0.00,0.00,0,0
UAUG,0,0,0.00,0,0.00,0.00,0,0
UDEC,0,0,0.00,0,0.00,0.00,0,0
UFEB,0,0,0.00,0,0.00,0.00,0,0
UJAN,0,0,0.00,0,0.00,0.00,0,0
UJUL,0,0,0.00,0,0.00,0.00,0,0
UJUN,0,0,0.00,0,0.00,0.00,0,0
UMAR,0,0,0.00,0,0.00,0.00,0,0
UMAY,0,0,0.00,0,0.00,0.00,0,0
UNOV,0,0,0.00,0,0.00,0.00,0,0
